run,obs_timestep,server_rtc_enabled,server_rtc_real_delay,current_p,server_first_p,server_end_p,server_max_p,image_variant,offline_first_mean,offline_end_mean,offline_max_mean,delta_end_server_minus_offline,delta_first_server_minus_offline,offline_end_minus_current_p,server_end_minus_current_p
recorded_obs-0629-01,274,True,3.0,0.8370770290171939,0.8522380104540043,0.5424240921734833,0.8650235705396575,saved_rgb,0.8334346609236294,0.6947540618217329,0.8855347243487163,-0.15232996964824963,0.01880334953037488,-0.142322967195461,-0.29465293684371063
recorded_obs-0629-01,274,True,3.0,0.8370770290171939,0.8522380104540043,0.5424240921734833,0.8650235705396575,server_jpeg_bgr_q90,0.8335291889977295,0.6620533344247975,0.8933290219767963,-0.11962924225131422,0.018708821456274727,-0.17502369459239642,-0.29465293684371063
recorded_obs-0629-01,289,True,3.0,0.8728991479337753,0.8588297003481195,0.8473818507028595,0.9329894192469079,saved_rgb,0.8730843998630045,0.7492033294499253,0.9203363049602153,0.09817852125293425,-0.014254699514885005,-0.12369581848385003,-0.02551729723091578
recorded_obs-0629-01,289,True,3.0,0.8728991479337753,0.8588297003481195,0.8473818507028595,0.9329894192469079,server_jpeg_bgr_q90,0.8750370558467605,0.7619201942937348,0.9296955291835314,0.08546165640912473,-0.016207355498641052,-0.11097895364004051,-0.02551729723091578
recorded_obs-0629-01,291,True,3.0,0.8599732637189181,0.8463992650510169,0.8028868498825092,0.9525581264671048,saved_rgb,0.8608289254005248,0.7976178561361292,0.9282992756054979,0.005268993746380013,-0.014429660349507878,-0.0623554075827889,-0.05708641383640889
recorded_obs-0629-01,291,True,3.0,0.8599732637189181,0.8463992650510169,0.8028868498825092,0.9525581264671048,server_jpeg_bgr_q90,0.8622055232003945,0.8010081951582085,0.9373628365161174,0.0018786547243007101,-0.015806258149377528,-0.0589650685607096,-0.05708641383640889
recorded_obs-0629-01,306,True,3.0,0.8193020241130448,0.8090032516782417,0.9139417558736653,0.9755528765824281,saved_rgb,0.8352650126181809,0.8258374104256919,0.957521316876476,0.08810434544797341,-0.02626176093993915,0.006535386312647162,0.09463973176062057
recorded_obs-0629-01,306,True,3.0,0.8193020241130448,0.8090032516782417,0.9139417558736653,0.9755528765824281,server_jpeg_bgr_q90,0.8364224494248328,0.7781848331198701,0.9487621502405854,0.13575692275379525,-0.027419197746591073,-0.04111719099317468,0.09463973176062057
recorded_obs-0629-01,308,True,3.0,0.8362594589642434,0.8166079528907334,0.5553820448504457,0.9267831098271805,saved_rgb,0.8447666895547512,0.8267349259724851,0.9454211061376002,-0.27135288112203937,-0.028158736664017803,-0.009524532991758261,-0.28087741411379763
recorded_obs-0629-01,308,True,3.0,0.8362594589642434,0.8166079528907334,0.5553820448504457,0.9267831098271805,server_jpeg_bgr_q90,0.8479970091777776,0.8276749666673243,0.9631109851555815,-0.2722929218168786,-0.03138905628704425,-0.008584492296919044,-0.28087741411379763
